ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
77171;0;0;0;6;5;6;5;Tidak;Tidak;Tidak;Tidak
77172;2;2;0;8;8;6;6;Tidak;Tidak;Tidak;Tidak
78044;1;22;0;9;10;9;9;Tidak;Tidak;Tidak;Ya
78046;0;0;0;10;10;9;10;Ya;Ya;Tidak;Tidak
78049;0;14;0;9;9;8;9;Tidak;Ya;Ya;Ya
78051;5;7;0;8;7;9;7;Tidak;Ya;Tidak;Tidak
78054;9;6;0;9;9;8;8;Tidak;Ya;Tidak;Ya
78057;13;72;0;8;9;7;7;Ya;Tidak;Tidak;Ya
78059;11;33;0;9;9;9;9;Tidak;Ya;Tidak;Tidak
78062;10;18;0;9;9;8;9;Tidak;Ya;Tidak;Tidak
78070;12;1;0;9;8;7;7;Tidak;Ya;Tidak;Tidak
78071;6;15;0;8;8;9;7;Ya;Ya;Tidak;Tidak
74739;4;0;0;7;7;7;6;Ya;Ya;Tidak;Tidak
74741;0;0;8;8;8;8;8;Ya;Ya;Tidak;Tidak
74742;12;0;0;8;8;7;7;Ya;Ya;Tidak;Ya
74775;1;4;0;7;7;5;7;Tidak;Ya;Tidak;Ya
74776;24;0;3;8;8;8;6;Ya;Ya;Tidak;Tidak
74920;0;0;0;9;8;8;8;Tidak;Tidak;Tidak;Ya
74922;5;0;0;7;7;7;6;Ya;Ya;Tidak;Ya
74923;9;0;0;8;8;9;8;Ya;Tidak;Tidak;Tidak
75113;0;0;0;9;9;8;8;Tidak;Ya;Tidak;Tidak
75114;5;0;0;9;9;8;9;Ya;Ya;Tidak;Tidak
75115;12;0;0;9;9;9;8;Tidak;Tidak;Tidak;Tidak
75116;15;0;0;10;10;10;10;Ya;Ya;Tidak;Tidak
75118;8;0;16;8;8;7;8;Tidak;Ya;Tidak;Tidak
75119;5;0;0;8;9;8;8;Ya;Ya;Tidak;Ya
76593;20;0;5;7;6;7;7;Ya;Tidak;Tidak;Tidak
76649;9;0;0;8;7;7;8;Ya;Ya;Ya;Tidak
76669;7;0;0;9;8;8;8;Ya;Ya;Tidak;Tidak
76887;17;0;0;8;8;8;8;Ya;Ya;Ya;Ya
76889;0;0;0;10;10;10;10;Ya;Tidak;Tidak;Tidak
76890;16;0;5;9;9;9;9;Ya;Ya;Ya;Tidak
76981;0;0;0;8;8;8;9;Tidak;Ya;Tidak;Tidak
76982;14;0;27;8;9;9;8;Tidak;Ya;Tidak;Ya
76983;0;0;68;9;9;10;10;Ya;Ya;Tidak;Ya
76984;0;0;4;9;8;9;8;Ya;Ya;Tidak;Tidak
76985;10;0;8;9;9;9;9;Tidak;Ya;Tidak;Ya
77176;0;0;0;9;9;8;8;Tidak;Tidak;Tidak;Tidak
77177;0;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
77179;21;0;7;8;9;8;8;Ya;Ya;Tidak;Ya
77180;8;0;0;8;7;7;8;Tidak;Ya;Tidak;Tidak
77181;3;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
77858;9;0;0;9;8;7;7;Ya;Ya;Tidak;Ya
77859;4;0;0;8;8;8;8;Tidak;Ya;Tidak;Tidak
75176;14;24;0;10;10;10;8;Tidak;Ya;Tidak;Ya
75178;10;7;0;8;8;7;8;Tidak;Ya;Tidak;Ya
76273;8;14;0;8;8;7;9;Ya;Ya;Ya;Ya
76277;9;5;0;8;8;7;8;Tidak;Ya;Tidak;Ya
76589;8;5;0;8;8;7;6;Ya;Ya;Ya;Ya
76625;0;58;0;7;8;7;6;Tidak;Ya;Ya;Ya
76631;0;24;0;7;7;8;8;Ya;Ya;Ya;Ya
77643;0;0;0;7;8;6;7;Ya;Ya;Tidak;Ya
77647;1;9;10;8;7;7;7;Ya;Ya;Ya;Tidak
77785;8;58;0;8;8;8;8;Tidak;Ya;Ya;Ya
77786;0;0;0;9;8;5;8;Ya;Ya;Ya;Ya
77853;35;32;0;7;8;7;7;Tidak;Ya;Tidak;Ya
78874;20;11;0;9;9;9;8;Ya;Ya;Tidak;Ya
78976;12;20;0;9;9;9;9;Ya;Ya;Tidak;Ya
78977;10;32;0;6;7;8;6;Tidak;Ya;Tidak;Ya
78978;7;25;0;8;8;8;8;Ya;Ya;Tidak;Ya
78984;4;20;0;8;8;8;9;Ya;Ya;Tidak;Ya
79178;0;5;0;9;8;8;7;Ya;Ya;Tidak;Ya
79179;3;16;0;6;7;6;6;Ya;Ya;Tidak;Ya
79219;5;26;0;10;10;10;10;Ya;Ya;Ya;Tidak
79249;0;50;0;7;7;7;7;Ya;Ya;Tidak;Ya
79334;4;10;0;8;10;9;9;Tidak;Ya;Tidak;Tidak
79340;11;29;0;9;9;8;8;Ya;Ya;Tidak;Ya
79430;2;60;0;6;7;6;5;Tidak;Ya;Tidak;Tidak
79431;9;35;8;7;8;7;7;Tidak;Ya;Tidak;Ya
79432;8;35;0;8;7;7;7;Tidak;Ya;Tidak;Tidak
79435;5;40;0;8;8;8;8;Ya;Ya;Ya;Tidak
79481;0;0;0;9;9;8;9;Tidak;Ya;Tidak;Tidak
79482;2;30;0;6;9;6;7;Ya;Ya;Ya;Tidak
79483;9;30;0;7;8;5;7;Tidak;Ya;Tidak;Ya
80053;9;22;0;8;9;9;8;Tidak;Ya;Ya;Tidak
80057;17;65;0;9;9;10;10;Ya;Ya;Ya;Ya
75350;41;0;18;8;8;8;8;Tidak;Ya;Tidak;Ya
75352;1;0;34;7;10;9;7;Tidak;Ya;Tidak;Tidak
75353;6;0;2;8;9;8;7;Ya;Ya;Tidak;Ya
